original_text,en_token_1,auto_pos_1,gold_pos_1,en_token_2,auto_pos_2,gold_pos_2,en_token_3,auto_pos_3,gold_pos_3,en_token_4,auto_pos_4,gold_pos_4,en_token_5,auto_pos_5,gold_pos_5,en_token_6,auto_pos_6,gold_pos_6,en_token_7,auto_pos_7,gold_pos_7,en_token_8,auto_pos_8,gold_pos_8,en_token_9,auto_pos_9,gold_pos_9,en_token_10,auto_pos_10,gold_pos_10,en_token_11,auto_pos_11,gold_pos_11,en_token_12,auto_pos_12,gold_pos_12,en_token_13,auto_pos_13,gold_pos_13,en_token_14,auto_pos_14,gold_pos_14,en_token_15,auto_pos_15,gold_pos_15
對我Professor死心塌地係我做過最好嘅投資,Professor,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
要為你前途着想幫你搞晒所有recommendation letter &scholarship 咁既星點搵,recommendation,PROPN,,letter,PROPN,,scholarship,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係其實佢地的確係好勁值得我admire嘅人,admire,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仲要題題都答中point,point,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
反正我哋Performance唔好 其實我地啲pick都會擔心,Performance,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其實唔比投標，認證一堆有實力嘅contractor，有大廈想維修就同政府申請,contractor,NOUN,,pick,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每個區擺一team去主動定期查屋范大維修,team,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
就算同rank嘅都一定走唔開傾公事,rank,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘩，haha真係入得廚房出得廳堂呀！賣餸好勁呀！同honey拍多d片，好好睇,haha,NOUN,,honey,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"简单得来好warm噶一条片, 支持!",warm,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我喜欢看你拍旅游vlog的节奏和pattern! Please 多点去玩。。,vlog,NOUN,,pattern,NOUN,,Please,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一看到說是小紅書推薦就覺得不妙了XD,XD,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"简单得来好warm噶一条片, 支持!",warm,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我最多既係唇部化妝品 但係我唔係成日搽，一個咀搽唔到咁多xd 好羨慕你好多妝都carry到 不如拍個what's in my bag/make up bag吖,xd,PROPN,,carry,PROPN,,s,VERB,,bag,NOUN,,make,NOUN,,up,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好中意你lee個video ar!!! 皮膚保養要加油呀，有d暗蒼爆緊出黎啦loll,lee,VERB,,video,NOUN,,ar,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可吾可以分享點話一字眉TT 或者系到話我知for一d眉毛好斜tick上去戈d應該點修同畫,TT,PROPN,,tick,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢間 restaurant must try,restaurant,VERB,,try,ADV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
等緊room tour part2;-),room,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你花了那麼多心機構思整段片， 出來的效果一點都沒有Hardsell的感覺，反而看得很輕鬆讚讚 超超鍾意你三個妝:-o,Hardsell,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢集真系好睇呀bbg,bbg,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hello 你好你長得真的好可愛喔我最近也開了自己的channel, 希望你有興趣, 教大家如何ＤＩＹ自製閃亮亮iphone水晶Bling Bling 手機殼, 希望可以教個朋友囉",Hello,PROPN,,channel,VERB,,iphone,NOUN,,Bling,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個 outfit so good,outfit,NOUN,,good,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"個馬卡龍妝好令! 依加越黎越中意你d片, 之前過d都係冇聲;,但依加多左好多互動.so nice",so,NOUN,,nice,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可能搽得太多層mascara 前排先買完一支maybelline既mascara,mascara,PROPN,,maybelline,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"好令女,拍得好好:) 加油丫,up多d片啦;)",up,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我想問小花，你的wig係邊買咖？：,wig,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可以出多d呢d video,video,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我係你超級fdz xdd,fdz,PROPN,,xdd,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"好可愛, 我個FD要出COS, 都係睇住你呢段片黎化XDDD",XDDD,PROPN,,FD,PROPN,,COS,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你雙眼皮好perfect:( 用極雙眼皮貼都冇甘既效果!,perfect,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"video係排行榜15,,,,勁",video,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DingDing! 睇你其他片知道你好高啊! 有無啲增高方法? For青春期少女?,DingDing,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
副con好靓啊 :)),con,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
帶住台灣人嚟深水埗消費老化，買嗰十蚊嘢飲就老奉拎兩盒只限外賣嘅飯去 Food Court 黐冷氣霸位，呢種唔係窮遊係厚面皮；如果你哋真係肯踎街邊或者去公園食，我先至會畀一百個 Like 讚你哋夠地道兼識入鄉隨俗！,Food,PROPN,,Court,PROPN,,Like,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個 food looks so good!!!,food,NOUN,,looks,NOUN,,so,NOUN,,good,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好like你既性格,like,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
霓虹妹的point 下睫毛，眉毛颜色还是太深,point,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
这副contact lenses太大了眼白都快找不到了,contact,NOUN,,lenses,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最後件褸真心型....但著嘅人要有氣質先carry到，冇咁嘅氣質就27k變270,carry,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HANA 你头发颜色同埋bangs整的好靓啊!! 有无整头发嘅分享吖？,HANA,PROPN,,bangs,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之前去美容院KO啲毛毛，因為未堅持到定期去，毛毛又生粗佐嘥錢又嘥時間,KO,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"好鍾意睇呢類嘅video, thanks for sharing!!",video,NOUN,,thanks,NOUN,,sharing,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
難怪大家都說gay 很帥，你們就是帥gay代表,gay,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢條片 quality 好高!!!,quality,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
po主把聲好萌///,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
五係好自然?_?油眼既sis可能五適合用，因為會溶嫁！,sis,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
正..好得意. 姐姐快d出多d片啦. 我想學..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thx!!!你既教學對我好有幫助w thx!!!你既教學對我好有幫助w,thx,PROPN,,w,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
全部都係賺你地facial同補品既錢去買 睇來食水唔少,facial,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兩小隻跑去找把拔說把拔給錢我直接笑出聲XDDDDD,XDDDDD,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我必須說 日本夾娃娃機真的超難 姐夫夾到那瞬間我很震撼 而且是有思考的在夾 還真的慢慢移過去太強了respect,respect,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢間店好aesthetic,aesthetic,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
這系列是看過最好笑的，一直看Ariel忍住不崩潰！XDXD,Ariel,PROPN,,XDXD,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好鍾意今次嘅video！小花好野！,video,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omg 呢個setup,omg,PROPN,,setup,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
又重新睇過wwwwww,wwwwww,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個角度好pro,pro,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wah 真係好靚,wah,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
想知邊間ikea?,ikea,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿榮的女朋友感覺的出來對阿榮很有愛 眼神裡面都是滿滿自己的男友而且女友真的很有氣質又漂亮啊！我是gay沒別的意思，但gay不只喜歡帥哥，對漂亮女生也會很吸引人,gay,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
目前最愛的旅遊Youtuber!!! 後製非常的用心,Youtuber,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H圍巾3千頭CP值高 Evelyne 同picotin 都抵用又唔洗好錫住用,H,PROPN,,CP,PROPN,,Evelyne,PROPN,,picotin,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓮香樓是茶樓，跟茶餐廳不一樣，比較chill，可以喝茶吃點心,chill,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港人。我喜歡你的這部影片！非常的chill和用心的製作！加油,chill,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月飛直接copy您4天3夜的行程 哈哈 最想坐坐海盜船叮叮車然後吃吃您推廌的GANTO GELATO提拉米蘇 照著你的步伐慢悠悠的享受一下香港的步調,copy,VERB,,GANTOGELATO,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我買咗一隻手鈪已經有個picotin見你搞到個brand cheap晒，早知唔開嚟睇！,picotin,NOUN,,brand,VERB,,cheap,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"謝謝你們來香港, 新景園其實可以先打電話去訂飯. 我們lunch是一開門就打電話去訂, 十二點半左右去拿. 不用排長龍. 其實灣仔也有bakehouse還是第一家店.",lunch,ADV,,bakehouse,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"電車之所以被香港人稱作叮叮(不是叮叮""車"", 正如我去台北坐 55688, 我不會說去坐 ""55688車"" 一樣的道理 ), 是因為早年電車司機在過馬路或提醒行人時會拉動鈴鐺，發出清脆的叮叮聲，久而久之，香港人便親切地將電車稱為叮叮, 並不是關什麼 ""叮叮糖""的原因, 還有那個糖本身叫做""啄啄糖"", 不是叮叮糖, 全個故事都是亂編... Btw, 你們吃的是蛋撻還是葡撻? Anyway, 你們的影片拍得非常好, 高質, 氣氛不錯, 多謝你們唱好香港",Btw,PROPN,,Anyway,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太多ghost jobs假招聘，你1個月申請100份工咁少？實際可能得40個空缺係真的,ghost,NOUN,,jobs,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港人表示蓮香樓是賣情懷，同level六安居 好吃些,level,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拍得好靚，btw茶樓跟茶餐廳不一樣啊,btw,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"你把香港拍得好美,讓我想立馬訂機票出發了! passione.panini看起來太美味",passione,NOUN,,panini,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
想吃soft thunder!,soft,PROPN,,thunder,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好想吃紅茶冰室 剛好10月底想去澳門看travis scott,travis,NOUN,,scott,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我喜歡台灣旅客來香港 welcome,welcome,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
晚上還可以買到backhouse的蛋塔?,backhouse,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好期待十月第一次要去香港玩??張保仔號也太Chill 了吧,Chill,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本身是香港人都想跟著你玩及飲飲食食除咗紅茶 片拍剪得好好 即刻sub,sub,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你好金針菇，我是香港人也你fans耶，昨天我也去了金園吃蛋撻跟特餐沙爹牛麵，很好吃的，下次妳也試試那個沙爹牛麵啊,fans,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
真係好鍾意睇你嘅travel vlog,travel,ADJ,,vlog,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"besides,今集個嘉賓都好cute",besides,NOUN,,cute,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
兩位都是我有follow的韓國人，見到一起合體很開心啊,follow,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"跟慧利好有chemistry,喜歡",chemistry,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我很簡單 有慧利就like,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bakehouse蛋撻的撻底是酸種Sourdough Eggs Tart,Bakehouse,PROPN,,Sourdough,PROPN,,Eggs,PROPN,,Tart,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
煲仔飯有吃飯焦嗎？怕你miss了,miss,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可以去食甘堂，但唔好去灣仔個間，把撚，it has to be 南華會個間，make sure 要着兩條褲,make,NOUN,,sure,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
讚啊！歡迎香港之旅enjoyed it.,enjoyed,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"除咗小食之外 ，港幣200至500蚊嘅餐廳都好多好食 性價比高嘅， (米芝蓮) or google map睇comment la， 越南，泰國， 日本，法國，意大利...etc, 當然，食完就要努力做返多啲運動呀 香港fans",google,NOUN,,map,NOUN,,comment,NOUN,,la,NOUN,,etc,NOUN,,fans,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我也是香港的 fans,fans,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May， 幾時也來Singapore 享用美食呢？,Singapore,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你兩個香港朋友講嘅普通話100 Guang Pu,Guang,PROPN,,Pu,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港幾乎沒有店家用美奶滋都用奶油 butter,butter,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我們叫牛油Butter大陸人叫黃油台灣人叫奶油我真的不明白為什麼兩個人這樣稱呼Butter in Chinese,Chinese,PROPN,,Butter,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你daddy廣東話講得幾好丫，被問喜歡你媽咪咩野，甜絲絲答唔知，好可愛,daddy,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你daddy後生時都已經好型仔,daddy,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mom 好優雅好有貴氣,Mom,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我mami 係菲律賓人，佢以前睇電視學，而且屋企係講廣東話，所以mami而家講得好流利。,mami,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
而家佢識講廣東話國語，住左台灣已經15年，但同你爹哋一樣，都仲系接受吾到chicken feet,chicken,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
妳哋彼此很有愛，很warm,warm,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"dad 好 cute , 好正",dad,VERB,,cute,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uncle講得好好, 好可愛,",Uncle,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"講得唔錯, 啲用字好香港人 style (比廣洲嗰啲夾雜普通話口音好好多, 啲口音都卡娃兒過啲廣洲仔)",style,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法国爸爸好可爱 香港妈妈真系好nice，女儿很漂亮，感谢你的视频分享，祝福你们,nice,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yr dads Cantonese is really well as long as he is a French 我個仔學緊法文 我睇到on99,French,PROPN,,Yr,PROPN,,Cantonese,PROPN,,well,NOUN,,long,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hello Megan, 我第一次睇你啲片. 你講廣東話唔似得好多香港人咁有懶音.",Megan,PROPN,,Hello,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爹哋講廣東話有倪匡先生嘅feel,feel,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonus points to Dad for knowing when to use 唔緊要.,Dad,PROPN,,Bonus,PROPN,,points,NOUN,,knowing,NOUN,,use,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喜欢这么detailed 的介绍,detailed,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
超有feel 又便宜,feel,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2號冰室的蛋TART 很好吃的,TART,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好鐘意越南人呢種態度，好positive，喺澳洲經常遇到好好嘅越南人，而且越南人好有義氣好團結，作為一個香港人真係好羨慕,positive,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"我好早已經follow Kiki , 見佢又識講越南話又識講廣東話真有趣又跟住去佢介紹嘅香港餐廳佢重地膽過香港人",follow,VERB,,Kiki,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好true，好認真，好上進，又好enjoy既女仔！,TRUE,ADJ,,enjoy,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
越南人大部份好正面好friendly，Follow 左Kiki 幾年，,friendly,ADJ,,Follow,PROPN,,Kiki,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiki好叻呀！廣東話仲好local，真心覺得勁,Kiki,PROPN,,local,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"btw, 謝謝你喜歡香港",btw,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我喜欢看你拍旅游vlog的节奏和pattern! Please 多点去玩。。,vlog,NOUN,,pattern,NOUN,,Please,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彤彤姐姐一個人看起來好棒 香港人的角度來看看正確?完成?日常的好好看啊！太快樂了啦?一?太好好吃Love！日常,Love,PROPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
介紹你一間 ice puff 雞蛋仔 在旺角 很好味,ice,VERB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你好，好奇你拍的时候是有佩戴mic吗？有使用消除背景音，有些是后期再voice over的吗？,mic,ADJ,,voice,NOUN,,over,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
换editor了吗 感觉这次剪辑风格不太一样,editor,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
想知道這家hotel的名稱,hotel,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"你吃泰國粉時, 隔離的男士好dirty, 抓頭髮抓背抓肩手, 怕你吃了他的頭屑",dirty,ADJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你功課做不夠，可以參考香港youtuber 的介紹，Kiki and May,Kiki,PROPN,,youtuber,NOUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
